0,2
0,3
1,5
1,2
1,4
2,5
2,6
2,3
3,6
4,8
4,5
4,7
5,9
5,6
5,8
6,9
6,51
7,8
7,10
7,11
8,9
8,11
8,12
9,51
9,50
9,12
10,13
10,14
10,11
11,12
11,14
11,15
12,50
12,15
13,14
13,16
13,17
14,15
14,17
14,18
15,18
16,20
16,17
16,19
17,18
17,20
17,21
18,21
19,23
19,20
19,22
20,24
20,21
20,23
21,24
22,26
22,23
22,25
23,27
23,24
23,26
24,49
24,27
25,26
25,28
26,28
26,27
26,29
27,29
27,49
27,48
28,30
28,29
29,47
29,30
29,48
30,46
30,31
30,47
31,45
31,46
31,32
32,44
32,34
32,45
33,36
33,37
33,34
34,43
34,44
34,37
35,39
35,36
35,38
36,40
36,37
36,39
37,43
37,40
37,42
38,65
38,64
38,39
39,40
39,41
39,65
40,41
40,42
41,65
41,42
41,53
41,52
42,53
42,43
43,44
44,45
45,46
46,47
47,48
47,54
48,54
48,49
50,51
52,56
52,65
52,53
52,55
52,66
53,56
55,66
55,56
55,58
55,67
55,57
56,58
57,59
57,68
57,58
57,67
57,60
58,60
59,68
59,61
59,60
59,69
59,62
60,62
61,70
61,63
61,69
61,62
62,63
64,66
64,65
65,66
66,67
67,68
68,69
69,70
