SampleName	Group	Cluster	PC1	PC2	latitude	longitude	pi	mean_depth	F	low_cov_pi	low_mean_depth
CH7_Cape_Hatteras_NC	Cape_Hatteras_NC	Cluster0	0.0507394	0.141441	35.469	-75.48	0.002348297619	75.7557	0.32579	0.002253451565	6.94116
CH8_Cape_Hatteras_NC	Cape_Hatteras_NC	Cluster0	0.050411	0.138257	35.469	-75.48	0.002419105897	68.899	0.31866	0.00227651741	6.95289
CH10_Cape_Hatteras_NC	Cape_Hatteras_NC	Cluster0	0.0490141	0.139409	35.469	-75.48	0.002311883015	24.0413	0.33458	0.002422565571	6.93321
CU5_Currituck_Beach_NC	Currituck_Beach_NC	Cluster0	0.0484936	0.128222	36.381	-75.824	0.002386267505	80.6173	0.31194	0.002394780081	6.94433
CU6_Currituck_Beach_NC	Currituck_Beach_NC	Cluster0	0.0458183	0.130422	36.381	-75.824	0.002417019133	30.0353	0.31392	0.002272525003	6.87804
CU7_Currituck_Beach_NC	Currituck_Beach_NC	Cluster0	0.0460616	0.140433	36.381	-75.824	0.002426614774	61.6695	0.29478	0.002393794217	6.92645
CU8_Currituck_Beach_NC	Currituck_Beach_NC	Cluster0	0.0499346	0.143858	36.381	-75.824	0.002358384887	65.0525	0.31983	0.002263614975	6.91146
VB5_Virginia_Beach_VA	Virginia_Beach_VA	Cluster0	0.0454633	0.121768	36.892	-75.985	0.002417169328	60.3173	0.3094	0.00181684773	6.89162
VB6_Virginia_Beach_VA	Virginia_Beach_VA	Cluster0	0.0419569	0.125728	36.892	-75.985	0.002476170056	44.1049	0.27936	0.002327614362	6.89567
VB7_Virginia_Beach_VA	Virginia_Beach_VA	Cluster0	0.0398932	0.129834	36.892	-75.985	0.002422967416	47.8495	0.30038	0.002287437959	6.88483
VB8_Virginia_Beach_VA	Virginia_Beach_VA	Cluster0	0.0412483	0.125706	36.892	-75.985	0.00244211381	82.9882	0.3174	0.002290363552	6.93554
VB10_Virginia_Beach_VA	Virginia_Beach_VA	Cluster0	0.0456898	0.134886	36.892	-75.985	0.001699781525	8.13097	0.53456	0.002434290269	5.97265
AI1_Assateague_Island_VA	Assateague_Island_VA	Cluster4	-0.0602515	0.0286932	37.888	-75.341	0.002714563687	43.7954	0.22284	0.0025899117	6.91202
AI2_Assateague_Island_VA	Assateague_Island_VA	Cluster4	-0.0553866	0.0372236	37.888	-75.341	0.002487571195	30.0082	0.25185	0.002270729956	6.86074
AI5_Assateague_Island_VA	Assateague_Island_VA	Cluster4	-0.0628136	0.0253158	37.888	-75.341	0.002548615516	42.013	0.2339	0.002324564753	6.91016
CM5_Cape_May_NJ	Cape_May_NJ	Cluster4	-0.119442	-0.0212418	38.93	-74.912	0.002301435995	105.931	0.32947	0.002402589698	6.93142
CM6_Cape_May_NJ	Cape_May_NJ	Cluster4	-0.114782	-0.0181936	38.93	-74.912	0.002318720654	26.6663	0.33677	0.002252468943	6.86344
CM7_Cape_May_NJ	Cape_May_NJ	Cluster4	-0.109053	-0.00269923	38.93	-74.912	0.002264902366	30.6321	0.35069	0.002251036748	6.90016
CM8_Cape_May_NJ	Cape_May_NJ	Cluster4	-0.105573	-0.00877413	38.93	-74.912	0.002527587216	54.6015	0.27156	0.002445672788	6.90188
CM9_Cape_May_NJ	Cape_May_NJ	Cluster4	-0.113991	-0.0170361	38.93	-74.912	0.002351512315	38.4649	0.33415	0.002273855858	6.88872
LB1_Long_Beach_NJ	Long_Beach_NJ	Cluster3	-0.147448	-0.06199	39.615	-74.197	0.001553449237	9.03196	0.54299	0.001729668421	6.15709
LB3_Long_Beach_NJ	Long_Beach_NJ	Cluster3	-0.146204	-0.0550076	39.615	-74.197	0.002206161004	32.8232	0.3959	0.002091607917	6.90453
LB4_Long_Beach_NJ	Long_Beach_NJ	Cluster3	-0.149008	-0.0553981	39.615	-74.197	0.002088651025	22.3954	0.41426	0.001986262154	6.82497
LB5_Long_Beach_NJ	Long_Beach_NJ	Cluster3	-0.152037	-0.0608981	39.615	-74.197	0.002141286855	42.6993	0.4079	0.002087050608	6.88441
LB9_Long_Beach_NJ	Long_Beach_NJ	Cluster3	-0.149903	-0.0479857	39.615	-74.197	0.002162763749	78.8609	0.40122	0.002217393633	6.91753
SB1_Sea_Bright_NJ	Sea_Bright_NJ	Cluster3	-0.149645	-0.0540596	40.362	-73.972	0.001935393486	16.6054	0.45516	0.001961470217	6.77922
SB2_Sea_Bright_NJ	Sea_Bright_NJ	Cluster3	-0.15099	-0.0632176	40.362	-73.972	0.00147200212	8.34849	0.59612	0.001642693644	6.11956
NB1_Nickerson_Beach_NY	Nickerson_Beach_NY	Cluster3	-0.153976	-0.0545276	40.585	-73.605	0.001278551702	7.75491	0.62731	0.001542973254	5.96829
NB2_Nickerson_Beach_NY	Nickerson_Beach_NY	Cluster3	-0.16158	-0.0618415	40.585	-73.605	0.001893582559	18.4894	0.45811	0.001893477285	6.79386
NB4_Nickerson_Beach_NY	Nickerson_Beach_NY	Cluster3	-0.148444	-0.0511219	40.585	-73.605	0.002093123374	23.5032	0.41086	0.00202472098	6.87252
NB5_Nickerson_Beach_NY	Nickerson_Beach_NY	Cluster3	-0.163295	-0.0689508	40.585	-73.605	0.001818194776	15.5376	0.48327	0.001821870111	6.70979
NB7_Nickerson_Beach_NY	Nickerson_Beach_NY	Cluster3	-0.158443	-0.0526	40.585	-73.605	0.002039533333	69.9987	0.44178	0.002048110857	6.91367
WH1_Watch_Hill_RI	Watch_Hill_RI	Cluster3	-0.152195	-0.0608305	41.308	-71.859	0.001061690734	7.62483	0.71193	0.001286801138	5.89826
WH2_Watch_Hill_RI	Watch_Hill_RI	Cluster3	-0.147263	-0.0508085	41.308	-71.859	0.00167889165	35.0241	0.54149	0.001715005519	6.91665
WH3_Watch_Hill_RI	Watch_Hill_RI	Cluster3	-0.156492	-0.0646177	41.308	-71.859	0.001443895396	9.96008	0.60439	0.001671932671	6.37733
WH4_Watch_Hill_RI	Watch_Hill_RI	Cluster3	-0.154765	-0.0612458	41.308	-71.859	0.001728393878	20.6581	0.5316	0.001737997834	6.82143
CR1_Crescent_Beach_ME	Crescent_Beach_ME	Cluster3	-0.154742	-0.0615721	43.564	-70.224	0.001308671895	83.4045	0.62564	0.001408800173	6.9144
CR2_Crescent_Beach_ME	Crescent_Beach_ME	Cluster3	-0.15469	-0.059531	43.564	-70.224	0.001465628434	28.2218	0.59736	0.00147659254	6.79802
CR3_Crescent_Beach_ME	Crescent_Beach_ME	Cluster3	-0.1532	-0.0612972	43.564	-70.224	0.001213915343	22.1188	0.66758	0.001280006346	6.80611
CR4_Crescent_Beach_ME	Crescent_Beach_ME	Cluster3	-0.152036	-0.0616866	43.564	-70.224	0.001263690017	18.9501	0.63629	0.001273225045	6.73171
