population	het	psi.sum	rep	model
3	0.1235288	-0.2537555948	3	center_sym
4	0.1271306	-0.1186648049	3	center_sym
5	0.1368851	0.1613776987	3	center_sym
6	0.1441257	0.382637973	3	center_sym
7	0.1409368	0.3457643373	3	center_sym
8	0.1409001	0.2571694032	3	center_sym
9	0.1265449	-1.91E-01	3	center_sym
10	0.1402194	0.2875541173	3	center_sym
1	0.120893	-0.2776372151	4	center_sym
2	0.1376469	0.3578243324	4	center_sym
3	0.1259774	-0.04224924228	4	center_sym
4	0.1302346	0.08889624118	4	center_sym
5	0.1325581	0.1031567703	4	center_sym
6	0.134715	0.1608015013	4	center_sym
7	0.1308371	0.09337630702	4	center_sym
8	0.1283718	-0.002059998642	4	center_sym
9	0.114859	-5.42E-01	4	center_sym
10	0.1293821	0.05988826197	4	center_sym
1	0.1169762	-0.4001098508	5	center_sym
2	0.1232085	-0.2212195488	5	center_sym
3	0.1336281	0.1489271965	5	center_sym
4	0.1282879	-0.05267034016	5	center_sym
5	0.1324475	0.112130873	5	center_sym
6	0.1364083	0.2909503363	5	center_sym
7	0.1315124	0.1016913294	5	center_sym
8	0.1272651	-0.003902270607	5	center_sym
9	0.1267301	-4.83E-02	5	center_sym
10	0.1301191	0.07251272535	5	center_sym
1	0.1043126	-0.8550828343	6	center_sym
2	0.1219731	-0.06765501219	6	center_sym
3	0.1230784	-0.114321153	6	center_sym
4	0.1246986	0.01077722054	6	center_sym
5	0.1365715	0.3694670737	6	center_sym
6	0.1250369	-0.01381489512	6	center_sym
7	0.1324279	0.2571996363	6	center_sym
8	0.133563	0.2881080816	6	center_sym
9	0.1236694	-1.46E-02	6	center_sym
10	0.1280662	0.1399470748	6	center_sym
1	0.1172006	-0.5191705936	7	center_sym
2	0.1198157	-0.4458977597	7	center_sym
3	0.1356879	0.1475519697	7	center_sym
4	0.1419114	0.3727842129	7	center_sym
5	0.1287506	-0.1468697932	7	center_sym
6	0.134582	0.0835356123	7	center_sym
7	0.1368185	0.2154764396	7	center_sym
8	0.1341931	0.1212220893	7	center_sym
9	0.1302433	-4.35E-02	7	center_sym
10	0.1398892	0.2148697361	7	center_sym
1	0.1134971	-0.6732404692	8	center_sym
2	0.1356813	0.1786045165	8	center_sym
3	0.1332438	0.05941723755	8	center_sym
