population	het	psi.sum	rep	pop.size
10	0.1164567	-0.4982130229	5	25:1
1	0.1249889	-0.1109336699	6	25:1
2	0.1259905	-0.06365215973	6	25:1
3	0.1317661	0.09925581154	6	25:1
4	0.1355111	0.2713827715	6	25:1
5	0.1349527	0.2637600206	6	25:1
6	0.1238796	-0.1368200986	6	25:1
7	0.1310267	0.0942868308	6	25:1
8	0.1224995	-0.1846200588	6	25:1
9	0.128071	-2.97E-02	6	25:1
10	0.1217109	-0.2029874577	6	25:1
1	0.1214066	-0.2181439504	7	25:1
2	0.1256503	-0.1033830645	7	25:1
3	0.1267188	-0.04422660925	7	25:1
4	0.1248242	-0.1457145577	7	25:1
5	0.1344872	0.2203803489	7	25:1
6	0.1306008	0.1792126984	7	25:1
7	0.1245939	-0.09459219629	7	25:1
8	0.1293009	0.1017468265	7	25:1
9	0.1212861	-1.20E-01	7	25:1
10	0.1317265	0.2247650541	7	25:1
1	0.1241176	-0.1964718265	8	25:1
2	0.1340583	0.1373541322	8	25:1
3	0.1412546	0.3942144673	8	25:1
4	0.1276255	-0.06281963086	8	25:1
5	0.133475	0.06901003827	8	25:1
6	0.1372828	0.2313595286	8	25:1
7	0.1359872	0.149935665	8	25:1
8	0.1348618	0.1914711477	8	25:1
9	0.1316796	1.54E-01	8	25:1
10	0.1003044	-1.06801181	8	25:1
1	0.1286435	-0.03943272266	9	25:1
2	0.136719	0.2511101221	9	25:1
3	0.1354299	0.1609977652	9	25:1
4	0.1299663	0.03075258366	9	25:1
5	0.1375137	0.2161156678	9	25:1
6	0.1358764	0.1506233235	9	25:1
7	0.1274173	-0.08094701698	9	25:1
8	0.1382749	0.2549032443	9	25:1
9	0.1254566	-2.02E-01	9	25:1
10	0.1101787	-0.7423017373	9	25:1
1	0.1203977	-0.2133968383	10	25:1
2	0.1306855	0.1559306796	10	25:1
3	0.1235202	-0.1419987803	10	25:1
4	0.133708	0.132499307	10	25:1
5	0.1338693	0.1511159559	10	25:1
6	0.1270148	-0.06027316522	10	25:1
7	0.1311424	0.09018786057	10	25:1
8	0.1365204	0.268624553	10	25:1
9	0.1257712	-1.27E-01	10	25:1
10	0.1213564	-0.2561656528	10	25:1
1	0.1306375	-0.09756317698	2	50:1
2	0.1390859	0.1568011768	2	50:1
3	0.1354919	0.08985994956	2	50:1
4	0.1357034	0.003269452578	2	50:1
5	0.1407803	0.1664046131	2	50:1
6	0.1388473	0.06441543176	2	50:1
7	0.1335334	-0.1104868868	2	50:1
8	0.1404916	0.1319137481	2	50:1
9	0.1276825	-3.19E-01	2	50:1
10	0.1345044	-0.0851967465	2	50:1
1	0.111492	-0.7989095022	3	50:1
2	0.1301132	-0.06673521199	3	50:1
3	0.1299513	-0.102296619	3	50:1
4	0.1417265	0.2579980537	3	50:1
5	0.1388337	0.1788589886	3	50:1
6	0.1429049	0.2522042969	3	50:1
7	0.1371849	0.08475170612	3	50:1
8	0.137433	0.1219867256	3	50:1
9	0.1380899	4.76E-02	3	50:1
10	0.1351262	0.02453319333	3	50:1
1	0.1202259	-0.3562150072	4	50:1
2	0.1290829	-0.02305987881	4	50:1
3	0.1267108	-0.1366358018	4	50:1
4	0.1380375	0.2635680794	4	50:1
5	0.1365401	0.1685337203	4	50:1
6	0.1346097	0.08426030564	4	50:1
7	0.1324329	0.01937334325	4	50:1
8	0.1372904	0.1482171307	4	50:1
9	0.1257421	-2.40E-01	4	50:1
10	0.1338445	0.07153720398	4	50:1
1	0.1269519	-0.0761107587	5	50:1
2	0.123411	-0.2396849744	5	50:1
3	0.128654	-0.04998829713	5	50:1
4	0.1377079	0.2514221924	5	50:1
5	0.1395222	0.2618855354	5	50:1
6	0.128279	-0.1141864672	5	50:1
7	0.1276782	-0.107277687	5	50:1
8	0.1304884	-0.1033775403	5	50:1
9	0.139053	1.66E-01	5	50:1
10	0.1334426	0.01143101874	5	50:1
1	0.1215796	-0.3230717364	6	50:1
2	0.1264503	-0.1321428727	6	50:1
3	0.1367095	0.1712922451	6	50:1
4	0.1357985	0.150325038	6	50:1
5	0.1385445	0.192850949	6	50:1
6	0.1353805	0.1159561251	6	50:1
7	0.1346614	0.06533927893	6	50:1
8	0.1364367	0.1064058485	6	50:1
9	0.123363	-3.44E-01	6	50:1
10	0.1332348	-0.002678739952	6	50:1
1	0.12906	-0.1206092438	7	50:1
2	0.1329862	0.00461492459	7	50:1
3	0.1310167	-0.05623362023	7	50:1
4	0.1354409	0.09876633144	7	50:1
5	0.1394875	0.1713132604	7	50:1
6	0.1375678	0.1311552522	7	50:1
7	0.1382025	0.1366436485	7	50:1
8	0.1332737	-0.007679510758	7	50:1
9	0.1293579	-2.21E-01	7	50:1
10	0.1295014	-0.1373098667	7	50:1
1	0.1315785	0.06345096283	8	50:1
2	0.1304754	0.03009568449	8	50:1
3	0.1265535	-0.1566078773	8	50:1
4	0.1316598	-0.02109999441	8	50:1
5	0.1333964	0.04571237872	8	50:1
6	0.131552	-0.04893714804	8	50:1
7	0.1348012	0.07998746793	8	50:1
8	0.132107	-0.0251348931	8	50:1
9	0.1345841	-1.95E-02	8	50:1
10	0.1356667	0.05207946892	8	50:1
1	0.1289396	0.03769896914	9	50:1
2	0.1179761	-0.3397791544	9	50:1
3	0.1279104	-0.03057254822	9	50:1
4	0.132892	0.07583841456	9	50:1
5	0.1362609	0.2617937997	9	50:1
6	0.1370697	0.2066725131	9	50:1
7	0.1343932	0.0688955874	9	50:1
8	0.1317793	0.09586221852	9	50:1
9	0.12584	-2.02E-01	9	50:1
10	0.1262802	-0.1745876462	9	50:1
1	0.125879	-0.3444102631	10	50:1
2	0.1360026	0.01585425036	10	50:1
3	0.1389116	0.06879598111	10	50:1
4	0.1429253	0.1648176467	10	50:1
5	0.1414989	0.1081948475	10	50:1
6	0.140992	0.09254929021	10	50:1
7	0.1342993	-0.1291959758	10	50:1
8	0.1412661	0.1390082322	10	50:1
9	0.1302398	-2.63E-01	10	50:1
10	0.1429292	0.1473471438	10	50:1
